tot,sys,usr
1832562,1832562,0
100767048,20767048,80000000
191692578,31692578,160000000
281884271,51884271,230000000
368788485,68788485,300000000
452107000,82107000,370000000
533397432,103397432,430000000
611389970,111389970,500000000
694331104,124331104,570000000
782085336,132085336,650000000
859469893,149469893,710000000
949327102,159327102,790000000
1032313493,172313493,860000000
1117396037,187396037,930000000
1206827511,196827511,1010000000
1292143483,212143483,1080000000
1378780536,228780536,1150000000
1456693670,236693670,1220000000
1557214944,247214944,1310000000
1661584024,271584024,1390000000
1749507776,279507776,1470000000
1821888284,291888284,1530000000
1893682096,303682096,1590000000
1973519562,313519562,1660000000
2049118770,319118770,1730000000
2138170210,338170210,1800000000
2226219870,346219870,1880000000
2307857373,357857373,1950000000
2387686871,377686871,2010000000
2465013970,385013970,2080000000
