tot,sys,usr
14700348,4700348,10000000
533503503,23503503,510000000
1015356671,35356671,980000000
1505690763,45690763,1460000000
1978383084,58383084,1920000000
2426993319,66993319,2360000000
2888935065,78935065,2810000000
3336185828,96185828,3240000000
3783875336,113875336,3670000000
4266135014,126135014,4140000000
4731409654,141409654,4590000000
5219476712,149476712,5070000000
5698083064,168083064,5530000000
6183115499,183115499,6000000000
6670169273,190169273,6480000000
7148825756,208825756,6940000000
7622039243,222039243,7400000000
8088303025,228303025,7860000000
8519382520,239382520,8280000000
8946186876,256186876,8690000000
9400989769,270989769,9130000000
9882336079,282336079,9600000000
10325869766,285869766,10040000000
10782207430,302207430,10480000000
11245572180,305572180,10940000000
11704880296,324880296,11380000000
12188863579,328863579,11860000000
12671876441,341876441,12330000000
13129096722,359096722,12770000000
13601534711,361534711,13240000000
14081990437,381990437,13700000000
14570014428,390014428,14180000000
15049850183,399850183,14650000000
15553164835,413164835,15140000000
16034512677,424512677,15610000000
16532466983,442466983,16090000000
17004371939,454371939,16550000000
17454797237,464797237,16990000000
17893514397,473514397,17420000000
18379715124,489715124,17890000000
18862807833,502807833,18360000000
19347344827,517344827,18830000000
19809469969,529469969,19280000000
20283447588,533447588,19750000000
20773787691,543787691,20230000000
21282996763,552996763,20730000000
21750178518,570178518,21180000000
22232947660,582947660,21650000000
22703480588,593480588,22110000000
23185607777,605607777,22580000000
23673477204,623477204,23050000000
24166425059,636425059,23530000000
24656059375,646059375,24010000000
25139986875,659986875,24480000000
25631460830,671460830,24960000000
26138305930,678305930,25460000000
26636437140,696437140,25940000000
27126489451,706489451,26420000000
27607421918,717421918,26890000000
28081873577,731873577,27350000000
28556706277,736706277,27820000000
29012147232,752147232,28260000000
29460111002,760111002,28700000000
29909179015,779179015,29130000000
30349607250,789607250,29560000000
30774298381,804298381,29970000000
31225092680,825092680,30400000000
31674098746,834098746,30840000000
32102243683,852243683,31250000000
32556041632,866041632,31690000000
33005920023,885920023,32120000000
33457291731,897291731,32560000000
33881631622,911631622,32970000000
34318576977,928576977,33390000000
34773858355,943858355,33830000000
35269198652,949198652,34320000000
35777411482,967411482,34810000000
36247934779,977934779,35270000000
36752700611,982700611,35770000000
37262007951,1002007951,36260000000
37730773072,1010773072,36720000000
38183174517,1023174517,37160000000
38629385133,1039385133,37590000000
39078029179,1058029179,38020000000
39506984862,1066984862,38440000000
39963826401,1073826401,38890000000
40420959657,1090959657,39330000000
40854902883,1104902883,39750000000
41278887968,1118887968,40160000000
41703060335,1133060335,40570000000
42128159215,1148159215,40980000000
42552796673,1162796673,41390000000
43008402177,1178402177,41830000000
43502969455,1192969455,42310000000
43933724121,1213724121,42720000000
44358785317,1228785317,43130000000
44784020979,1244020979,43540000000
45208364418,1258364418,43950000000
45661938562,1271938562,44390000000
46086913487,1286913487,44800000000
46547333472,1287333472,45260000000
47007908631,1297908631,45710000000
47435974768,1315974768,46120000000
47889559829,1329559829,46560000000
48343021474,1343021474,47000000000
48767488343,1357488343,47410000000
49196646117,1376646117,47820000000
49671087761,1381087761,48290000000
50165073844,1395073844,48770000000
50662558032,1412558032,49250000000
51157124672,1417124672,49740000000
51676210513,1426210513,50250000000
52141531406,1441531406,50700000000
52605779356,1455779356,51150000000
53082863668,1462863668,51620000000
53545994815,1475994815,52070000000
54034068191,1484068191,52550000000
54490718104,1500718104,52990000000
54973480852,1513480852,53460000000
55457563976,1527563976,53930000000
55932239276,1532239276,54400000000
56417465460,1547465460,54870000000
56907921998,1557921998,55350000000
57400135858,1570135858,55830000000
57856831047,1576831047,56280000000
58330035725,1590035725,56740000000
58852535921,1602535921,57250000000
59400356015,1610356015,57790000000
59880454422,1620454422,58260000000
60368709100,1628709100,58740000000
60854768164,1644768164,59210000000
61343319178,1653319178,59690000000
61834584730,1664584730,60170000000
62341532678,1681532678,60660000000
62829878601,1689878601,61140000000
63328379326,1698379326,61630000000
63806801860,1706801860,62100000000
64296538300,1726538300,62570000000
64770370011,1730370011,63040000000
65195559144,1745559144,63450000000
65619885756,1759885756,63860000000
66045561988,1775561988,64270000000
66470813368,1790813368,64680000000
66953005013,1803005013,65150000000
67444873359,1814873359,65630000000
67901660898,1831660898,66070000000
68393663838,1843663838,66550000000
68862793252,1852793252,67010000000
69349050285,1859050285,67490000000
69817244769,1867244769,67950000000
70302156365,1882156365,68420000000
70804946218,1894946218,68910000000
71302387398,1902387398,69400000000
71773224777,1923224777,69850000000
72221352558,1931352558,70290000000
72668587097,1948587097,70720000000
73134097787,1964097787,71170000000
73608195417,1978195417,71630000000
74102798726,1982798726,72120000000
74555429561,1995429561,72560000000
74983086095,2013086095,72970000000
75410079853,2030079853,73380000000
75833995172,2043995172,73790000000
76258869122,2058869122,74200000000
76729328161,2069328161,74660000000
77203707048,2083707048,75120000000
77671005131,2101005131,75570000000
78121983034,2111983034,76010000000
78557786316,2117786316,76440000000
78994484358,2134484358,76860000000
79421026120,2151026120,77270000000
79845812190,2165812190,77680000000
80270017736,2180017736,78090000000
80696703632,2196703632,78500000000
81122265895,2212265895,78910000000
81546445675,2226445675,79320000000
82018120658,2238120658,79780000000
82513644274,2243644274,80270000000
82975686353,2255686353,80720000000
83464070239,2264070239,81200000000
83968881824,2278881824,81690000000
84472641980,2292641980,82180000000
84956602962,2306602962,82650000000
85402972279,2322972279,83080000000
85838198766,2338198766,83500000000
86262919290,2352919290,83910000000
86688080652,2368080652,84320000000
87113681803,2383681803,84730000000
87538591337,2398591337,85140000000
87963356906,2413356906,85550000000
88388087569,2428087569,85960000000
88837793466,2437793466,86400000000
89282985207,2452985207,86830000000
89756078185,2466078185,87290000000
90238244440,2478244440,87760000000
90722773971,2492773971,88230000000
91180956574,2500956574,88680000000
91629521210,2519521210,89110000000
92115957119,2525957119,89590000000
92606973732,2536973732,90070000000
93092308253,2552308253,90540000000
93534811223,2564811223,90970000000
94026831405,2576831405,91450000000
94519241798,2579241798,91940000000
95010451122,2590451122,92420000000
95508595711,2608595711,92900000000
95992505928,2612505928,93380000000
96473863869,2623863869,93850000000
96957507427,2637507427,94320000000
97434029773,2654029773,94780000000
97912679228,2662679228,95250000000
98394531319,2674531319,95720000000
98875753233,2685753233,96190000000
99356653238,2696653238,96660000000
99821184778,2711184778,97110000000
100253720802,2723720802,97530000000
100679528131,2739528131,97940000000
101154416519,2744416519,98410000000
101630558795,2760558795,98870000000
102109174169,2769174169,99340000000
102548746297,2778746297,99770000000
102973669039,2803669039,100170000000
103398545649,2818545649,100580000000
103821411618,2831411618,100990000000
104245209167,2845209167,101400000000
104710595647,2860595647,101850000000
105169723736,2879723736,102290000000
105628411321,2888411321,102740000000
106085037811,2905037811,103180000000
106540731161,2920731161,103620000000
106999482524,2929482524,104070000000
107466581046,2946581046,104520000000
107895116026,2955116026,104940000000
108316303891,2966303891,105350000000
108754037575,2984037575,105770000000
109218462606,2998462606,106220000000
109641358642,3011358642,106630000000
110063372915,3023372915,107040000000
110493137353,3043137353,107450000000
110916391217,3056391217,107860000000
111383032613,3073032613,108310000000
111849379379,3079379379,108770000000
112333453114,3093453114,109240000000
112758786172,3108786172,109650000000
113184450471,3124450471,110060000000
113639188645,3139188645,110500000000
114126721270,3146721270,110980000000
114551295578,3171295578,111380000000
114979236035,3179236035,111800000000
115403200020,3203200020,112200000000
115827135919,3217135919,112610000000
116257002915,3227002915,113030000000
116681932206,3241932206,113440000000
117106597427,3256597427,113850000000
117545014483,3275014483,114270000000
118035152485,3285152485,114750000000
118526331671,3296331671,115230000000
118997783097,3307783097,115690000000
119487168809,3327168809,116160000000
119953052395,3333052395,116620000000
120412484362,3342484362,117070000000
120880317790,3350317790,117530000000
121372982333,3362982333,118010000000
121862227350,3372227350,118490000000
122357735477,3387735477,118970000000
122824264534,3394264534,119430000000
123290482698,3410482698,119880000000
123752542863,3412542863,120340000000
124207893317,3417893317,120790000000
124667420969,3427420969,121240000000
