tot,sys,usr
1638843,1638843,0
77306242,27306242,50000000
141641084,41641084,100000000
222597864,72597864,150000000
295916220,95916220,200000000
334316474,104316474,230000000
399272811,129272811,270000000
487628441,157628441,330000000
571211272,191211272,380000000
623938320,213938320,410000000
679446322,229446322,450000000
732963524,242963524,490000000
790523214,270523214,520000000
884198559,304198559,580000000
961592941,331592941,630000000
1028586602,358586602,670000000
1118658090,388658090,730000000
1185570740,405570740,780000000
1250415128,430415128,820000000
1306806919,446806919,860000000
1357488696,467488696,890000000
1407397389,487397389,920000000
1466044319,506044319,960000000
1525882527,525882527,1000000000
1580611115,550611115,1030000000
1636111388,566111388,1070000000
1679683592,579683592,1100000000
1734753575,604753575,1130000000
1779222521,619222521,1160000000
1844582784,644582784,1200000000
1901702785,661702785,1240000000
1956702198,686702198,1270000000
2005455511,705455511,1300000000
2059588762,719588762,1340000000
2106492482,736492482,1370000000
2160788423,750788423,1410000000
2224266401,774266401,1450000000
2303690128,803690128,1500000000
2358246172,818246172,1540000000
2423571690,843571690,1580000000
2493546566,873546566,1620000000
2560685819,890685819,1670000000
2635221679,925221679,1710000000
2699001586,949001586,1750000000
2757598451,957598451,1800000000
2806211937,976211937,1830000000
2854667144,994667144,1860000000
2917304394,1017304394,1900000000
2964869157,1034869157,1930000000
3023374261,1053374261,1970000000
3087377445,1077377445,2010000000
3141093635,1091093635,2050000000
3193318767,1113318767,2080000000
3258579581,1138579581,2120000000
3316403328,1156403328,2160000000
3382517193,1172517193,2210000000
3446636975,1196636975,2250000000
3487394458,1217394458,2270000000
3532523312,1222523312,2310000000
3577578285,1247578285,2330000000
3643583551,1263583551,2380000000
3689167886,1279167886,2410000000
3747631540,1297631540,2450000000
3793337193,1313337193,2480000000
3845784558,1335784558,2510000000
3892360234,1352360234,2540000000
3945220105,1365220105,2580000000
4019947345,1389947345,2630000000
4089104765,1419104765,2670000000
4134748455,1424748455,2710000000
4195892578,1445892578,2750000000
4250045200,1470045200,2780000000
4322975929,1492975929,2830000000
4368684648,1508684648,2860000000
4420692674,1520692674,2900000000
4476214999,1546214999,2930000000
4532444205,1562444205,2970000000
4581396696,1581396696,3000000000
4653501428,1603501428,3050000000
4729920182,1629920182,3100000000
4782360255,1652360255,3130000000
4869566164,1679566164,3190000000
4938547782,1698547782,3240000000
4996647331,1716647331,3280000000
5053563713,1733563713,3320000000
5127612804,1757612804,3370000000
5186086228,1776086228,3410000000
5255341367,1805341367,3450000000
5310271262,1820271262,3490000000
5356586658,1836586658,3520000000
